名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03
RedELF,80066,6133,0:00,0:00,Abyell,#02,AKAE Kaho,Side,F,B,NAGASAKI Miyu,B,Chiquita,B
RedELF,93266,5400,0:00,0:00,RedELF,#01,AKAE Kaho,Side,F,B,NAGASAKI Miyu,B,Chiquita,オーバーミス
Abyell,106600,6533,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,F,BS,MAEDA Miyu,B,Push,B
Abyell,119133,6333,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,F,BS,MAEDA Miyu,B,Stop,FMS
RedELF,131400,6666,0:00,0:00,Abyell,#04,MAEDA Miyu,Back,B,FS,KIMURA Kasumi,F,Stop,FMS
RedELF,148200,6400,0:00,0:00,RedELF,#03,MAEDA Miyu,Back,F,FMS,KIMURA Kasumi,F,Stop,FMS
Abyell,171400,7800,0:00,0:00,RedELF,#06,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,BMS
Abyell,187333,6800,0:00,0:00,RedELF,#04,KIMURA Kasumi,Back,B,FMS,AKAE Kaho,F,Push,BM
RedELF,203266,6400,0:00,0:00,Abyell,#04,AKAE Kaho,Side,B,BS,NAGASAKI Miyu,B,Chiquita,F
RedELF,217866,5400,0:00,0:00,RedELF,#01,AKAE Kaho,Side,B,B,NAGASAKI Miyu,B,Chiquita,オーバーミス
Abyell,230800,5666,0:00,0:00,,SV Let,NAGASAKI Miyu,Back,B,,MAEDA Miyu,,,
Abyell,239533,8333,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,F,BMS,MAEDA Miyu,B,Flick,B
Abyell,254933,7200,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Back,F,BMS,MAEDA Miyu,B,Flick,F
RedELF,276766,6066,0:00,0:00,RedELF,#03,MAEDA Miyu,Back,F,FMS,KIMURA Kasumi,F,Stop,ネットイン
RedELF,292233,5133,0:00,0:00,RedELF,#03,MAEDA Miyu,Back,F,FS,KIMURA Kasumi,F,Flick,F
Abyell,308900,4866,0:00,0:00,Abyell,#01,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,ネット
Abyell,320900,5333,0:00,0:00,Abyell,#03,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,B
RedELF,337766,5600,0:00,0:00,Abyell,#02,AKAE Kaho,Side,B,BS,NAGASAKI Miyu,F,Push,F
RedELF,350300,7266,0:00,0:00,RedELF,#03,AKAE Kaho,Side,F,BS,NAGASAKI Miyu,B,Chiquita,FM
Abyell,374500,7533,0:00,0:00,RedELF,#04,NAGASAKI Miyu,Back,F,BMS,MAEDA Miyu,B,Flick,ネットイン
Abyell,397166,5933,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Side,F,BMS,MAEDA Miyu,B,Flick,ネット
RedELF,410900,7666,0:00,0:00,RedELF,#05,MAEDA Miyu,Back,B,FMS,KIMURA Kasumi,F,Push,BM
Abyell,512100,5600,1:00,0:00,RedELF,#02,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS
Abyell,522900,8733,1:00,0:00,RedELF,#06,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS
RedELF,538833,5800,1:00,0:00,RedELF,#01,MAEDA Miyu,Back,F,BMS,NAGASAKI Miyu,F,Stop,ネット
RedELF,623900,5466,1:00,0:01,,SV Let,MAEDA Miyu,Back,F,,NAGASAKI Miyu,,,
RedELF,635566,5600,1:00,0:01,Abyell,#02,MAEDA Miyu,Back,F,B,NAGASAKI Miyu,B,Chiquita,F
Abyell,649966,6000,1:00,0:01,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Push,B
Abyell,662900,7466,1:00,0:01,RedELF,#04,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Push,B
RedELF,684633,4800,1:00,0:01,,SV Let,AKAE Kaho,Side,F,,KIMURA Kasumi,,,
RedELF,691100,7333,1:00,0:01,RedELF,#05,AKAE Kaho,Side,F,FMS,KIMURA Kasumi,F,ドライブ,FM
RedELF,706000,6466,1:00,0:01,RedELF,#03,AKAE Kaho,Side,F,FS,KIMURA Kasumi,F,Stop,FMS
Abyell,722000,8200,1:00,0:01,Abyell,#05,KIMURA Kasumi,Back,B,BMS,MAEDA Miyu,B,Stop,FS
Abyell,739466,5533,1:00,0:01,RedELF,#02,KIMURA Kasumi,(Side),F,B,MAEDA Miyu,B,ドライブ,B
RedELF,757000,5200,1:00,0:01,Abyell,#02,MAEDA Miyu,Back,F,BS,NAGASAKI Miyu,B,Chiquita,F
RedELF,852700,6333,1:00,1:01,Abyell,#04,MAEDA Miyu,Back,F,BS,NAGASAKI Miyu,B,Chiquita,B
Abyell,867200,6533,1:00,1:01,Abyell,#03,NAGASAKI Miyu,Back,F,FS,AKAE Kaho,F,Stop,FS
Abyell,881200,7933,1:00,1:01,Abyell,#03,NAGASAKI Miyu,Back,F,FS,AKAE Kaho,F,Push,B
RedELF,897200,6600,1:00,1:01,Abyell,#04,AKAE Kaho,Side,F,FS,KIMURA Kasumi,F,Stop,FMS
RedELF,911866,7200,1:00,1:01,RedELF,#05,AKAE Kaho,Side,F,FMS,KIMURA Kasumi,F,Stop,FMS
Abyell,934333,4933,1:00,1:01,,SV Let,KIMURA Kasumi,Back,B,,MAEDA Miyu,,,
Abyell,944600,6066,1:00,1:01,Abyell,#03,KIMURA Kasumi,Back,F,BM,MAEDA Miyu,B,ドライブ,F
Abyell,959600,7066,1:00,1:01,Abyell,#03,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Push,F
RedELF,978933,6533,1:00,1:01,RedELF,#03,MAEDA Miyu,Back,F,BMS,NAGASAKI Miyu,B,Chiquita,BM
RedELF,995200,8800,1:00,1:01,Abyell,#02,MAEDA Miyu,Back,F,BS,NAGASAKI Miyu,B,Chiquita,F
RedELF,1098200,6866,1:01,1:01,Abyell,#00,AKAE Kaho,Side,F,B,NAGASAKI Miyu,B,Chiquita,BM
RedELF,1132066,6133,1:01,1:01,Abyell,#04,AKAE Kaho,Side,F,BS,NAGASAKI Miyu,B,Chiquita,B
Abyell,1149200,7933,1:01,1:01,RedELF,#04,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Push,ネットイン
Abyell,1169233,6333,1:01,1:01,,SV Let,NAGASAKI Miyu,Side,F,,MAEDA Miyu,,,
Abyell,1180033,7266,1:01,1:01,RedELF,#02,NAGASAKI Miyu,Side,F,BMS,MAEDA Miyu,B,Push,FM
RedELF,1201033,9933,1:01,1:01,RedELF,#09-,MAEDA Miyu,Back,F,FMS,KIMURA Kasumi,F,Push,FM
RedELF,1224033,10400,1:01,1:01,RedELF,#09-,MAEDA Miyu,Back,B,FMS,KIMURA Kasumi,F,Push,B
Abyell,1254566,6466,1:01,1:01,RedELF,#02,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,B,ミユータ,BM
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,B,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
